Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
1 Month,30,Clip,Artificial Reef,XC8,High,890,2,3,3,3,4,2,4
1 Month,30,Clip,Artificial Reef,XC8,High,890,4,3,2,3,3,3,2
1 Month,30,Clip,Artificial Reef,XC8,High,250,2,2,3,1,0,1,1
1 Month,30,Clip,Artificial Reef,XC8,High,250,4,2,2,1,0,1,1
1 Month,30,Clip,Artificial Reef,XC8,High,851,2,2,1,2,1,2,0
1 Month,30,Clip,Artificial Reef,XC8,High,851,4,0,0,2,1,1,0
3 Month,90,JA4,Inner Reef,G37,Low,873,2,5,4,5,3,6,5
3 Month,90,JA4,Inner Reef,G37,Low,873,4,5,6,5,1,6,4
3 Month,90,JA4,Inner Reef,G37,High,940,2,3,2,1,0,1,2
3 Month,90,JA4,Inner Reef,G37,High,940,4,1,3,1,0,2,1
3 Month,90,JA4,Inner Reef,G37,High,870,2,2,1,3,4,1,3
3 Month,90,JA4,Inner Reef,G37,High,870,4,0,0,0,0,0,0
3 Month,90,JA4,Inner Reef,G37,Low,894,2,6,5,3,6,7,3
3 Month,90,JA4,Inner Reef,G37,Low,894,4,4,3,1,4,4,2
3 Month,90,JA4,Inner Reef,G37,High,883,2,1,1,1,2,3,0
3 Month,90,JA4,Inner Reef,G37,High,883,4,0,0,0,0,1,0
3 Month,90,JA4,Inner Reef,G37,High,854,2,1,1,1,1,1,1
3 Month,90,JA4,Inner Reef,G37,High,854,4,3,1,3,0,1,1
3 Month,90,JA4,Inner Reef,G37,Low,866,2,3,6,5,3,4,3
3 Month,90,JA4,Inner Reef,G37,Low,866,4,5,6,8,6,5,7
3 Month,90,JA4,Inner Reef,G37,Low,850,2,5,3,3,5,2,2
3 Month,90,JA4,Inner Reef,G37,Low,850,4,3,2,5,3,5,1
3 Month,90,JA4,Inner Reef,G37,High,880,2,3,3,4,3,3,4
3 Month,90,JA4,Inner Reef,G37,High,880,4,0,1,1,0,0,1
3 Month,90,JA4,Inner Reef,G37,Low,862,2,4,4,3,5,4,6
3 Month,90,JA4,Inner Reef,G37,Low,862,4,3,3,1,1,5,2
3 Month,90,JA4,Inner Reef,G37,High,874,2,1,3,0,0,1,0
3 Month,90,JA4,Inner Reef,G37,High,874,4,0,0,0,1,0,0
3 Month,90,JA4,Inner Reef,G37,Low,859,2,2,2,2,5,2,4
3 Month,90,JA4,Inner Reef,G37,Low,859,4,3,2,1,2,5,3
3 Month,90,JA4,Inner Reef,H24,Low,10,2,1,1,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,Low,10,4,3,1,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,Low,30,2,2,3,1,2,2,1
3 Month,90,JA4,Inner Reef,H24,Low,30,4,2,1,4,1,3,2
3 Month,90,JA4,Inner Reef,H24,High,844,2,3,2,2,2,2,1
3 Month,90,JA4,Inner Reef,H24,High,844,4,3,2,2,1,2,1
3 Month,90,JA4,Inner Reef,H24,High,48,2,2,1,2,1,2,1
3 Month,90,JA4,Inner Reef,H24,High,48,4,2,1,1,1,1,1
3 Month,90,JA4,Inner Reef,H24,High,831,2,2,4,2,1,2,0
3 Month,90,JA4,Inner Reef,H24,High,831,4,2,1,1,1,3,4
3 Month,90,JA4,Inner Reef,H24,Low,46,2,1,0,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,Low,46,4,4,4,2,3,2,2
3 Month,90,JA4,Inner Reef,H24,High,824,2,2,2,1,2,1,1
